name	has_val	has_test	promotable	public_clone	test_total_cites	test_mean_cites	jaccard_vs_public_anchor	reason
base_fusion_samesrc03_32274_top10_diverse_k30_a70	1	1	1	0	827	20.675000	0.896552	ok
base_fusion_samesrc03_32274_top16_private_k24_a42	1	1	1	0	881	22.025000	0.927602	ok
base_fusion_samesrc03_32274_top16_uniform_k30_a42	1	1	1	0	881	22.025000	0.929785	ok
base_fusion_samesrc03_32274_top16_uniform_k30_a50	1	1	1	0	880	22.000000	0.928652	ok
base_fusion_samesrc03_32274_top6_diverse_k24_a70	1	1	1	0	833	20.825000	0.890411	ok
base_fusion_samesrc03_32274_top6_uniform_k18_a42	1	1	1	0	872	21.800000	0.930524	ok
base_fusion_samesrc03_32274_winners_private_k24_a42	1	1	1	0	882	22.050000	0.928733	ok
base_intersect_bold7h_33028_nonclone_diverse_k00_a70	1	1	1	0	834	20.850000	0.889396	ok
base_intersect_bold7h_33028_nonclone_p10_k00_a70	1	1	1	0	830	20.750000	0.893471	ok
base_intersect_bold7h_33028_nonclone_private_k00_a70	1	1	1	0	826	20.650000	0.897583	ok
base_public_peak_33438_nonclone_diverse_k00_a70	1	1	1	0	877	21.925000	0.938426	ok
base_public_peak_33438_nonclone_p10_k00_a70	1	1	1	0	873	21.825000	0.942726	ok
base_public_peak_33438_nonclone_private_k00_a60	1	1	1	0	879	21.975000	0.936291	ok
base_public_peak_33438_nonclone_private_k10_a60	1	1	1	0	860	21.500000	0.914676	ok
base_public_peak_33438_top16_diverse_k00_a50	1	1	1	0	875	21.875000	0.940571	ok
base_public_peak_33438_top16_diverse_k10_a50	1	1	1	0	874	21.850000	0.939429	ok
base_public_peak_33438_winners_diverse_k18_a50	1	1	1	0	875	21.875000	0.933941	ok
base_widebankG_hailmary_30702_samesrc_diverse_k10_a42	1	1	1	0	883	22.075000	0.927684	ok
base_widebankG_hailmary_30702_samesrc_diverse_k10_a60	1	1	1	0	880	22.000000	0.924294	ok
base_widebankG_hailmary_30702_samesrc_diverse_k10_a70	1	1	1	0	879	21.975000	0.925339	ok
base_widebankG_hailmary_30702_top16_p10_k24_a50	1	1	1	0	871	21.775000	0.927190	ok
base_widebankG_hailmary_30702_top16_private_k30_a42	1	1	1	0	870	21.750000	0.934857	ok
base_widebankG_hailmary_30702_top16_private_k30_a70	1	1	1	0	830	20.750000	0.893471	ok
base_widebankG_hailmary_30702_top16_uniform_k24_a42	1	1	1	0	882	22.050000	0.924379	ok
base_widebankG_hailmary_30702_top16_uniform_k24_a50	1	1	1	0	876	21.900000	0.928490	ok
base_widebankG_hailmary_30702_top16_uniform_k24_a60	1	1	1	0	860	21.500000	0.914676	ok
base_widebankG_hailmary_30702_top16_uniform_k30_a42	1	1	1	0	877	21.925000	0.929625	ok
base_widebankG_hailmary_30702_top16_uniform_k30_a50	1	1	1	0	871	21.775000	0.933790	ok
base_widebankG_hailmary_30702_winners_p10_k18_a50	1	1	1	0	875	21.875000	0.929545	ok
base_widebankG_hailmary_30702_winners_private_k24_a70	1	1	1	0	835	20.875000	0.888383	ok
base_widebankG_hailmary_30702_winners_uniform_k18_a42	1	1	1	0	886	22.150000	0.926719	ok
base_widebankG_hailmary_30702_winners_uniform_k18_a50	1	1	1	0	877	21.925000	0.929625	ok
base_widebankG_hailmary_30702_winners_uniform_k18_a70	1	1	1	0	859	21.475000	0.915718	ok
base_widebankG_hailmary_30702_winners_uniform_k24_a42	1	1	1	0	881	22.025000	0.931973	ok
base_widebankG_hailmary_30702_winners_uniform_k24_a50	1	1	1	0	872	21.800000	0.934932	ok
bold7h_gsymp_j940	1	1	1	0	852	21.300000	0.871508	ok
bold7h_gsymp_j945	1	1	1	0	847	21.175000	0.876404	ok
bold7h_gsymp_j955	1	1	1	0	843	21.075000	0.880361	ok
boldD_j955	1	1	1	0	896	22.400000	0.864425	ok
bold_highlift_j955	1	1	1	0	896	22.400000	0.864425	ok
bold_highlift_pareto_j955	1	1	1	0	898	22.450000	0.862554	ok
cpu_capvote_balanced_a30_cap1_r00_rc0	1	1	1	0	861	21.525000	0.955865	ok
cpu_capvote_balanced_a30_cap2_r00_rc0	1	1	1	0	878	21.950000	0.937358	ok
cpu_capvote_balanced_a30_cap3_r00_rc0	1	1	1	0	884	22.100000	0.930995	ok
cpu_capvote_balanced_a30_cap5_r00_rc0	1	1	1	0	887	22.175000	0.927847	ok
cpu_capvote_balanced_a38_cap1_r00_rc0	1	1	1	0	858	21.450000	0.959207	ok
cpu_capvote_balanced_a38_cap2_r00_rc0	1	1	1	0	872	21.800000	0.943807	ok
cpu_capvote_balanced_a38_cap3_r00_rc0	1	1	1	0	876	21.900000	0.939498	ok
cpu_capvote_balanced_a38_cap5_r00_rc0	1	1	1	0	878	21.950000	0.937358	ok
cpu_capvote_balanced_a46_cap1_r00_rc0	1	1	1	0	856	21.400000	0.961449	ok
cpu_capvote_balanced_a46_cap2_r00_rc0	1	1	1	0	869	21.725000	0.947066	ok
cpu_capvote_balanced_a46_cap3_r00_rc0	1	1	1	0	872	21.800000	0.943807	ok
cpu_capvote_balanced_a46_cap5_r00_rc0	1	1	1	0	873	21.825000	0.942726	ok
cpu_capvote_balanced_a54_cap1_r00_rc0	1	1	1	0	841	21.025000	0.978597	ok
cpu_capvote_balanced_a54_cap2_r00_rc0	1	1	1	0	847	21.175000	0.971665	ok
cpu_capvote_balanced_a54_cap3_r00_rc0	1	1	1	0	848	21.200000	0.970519	ok
cpu_capvote_balanced_a62_cap2_r00_rc0	1	1	1	0	846	21.150000	0.972813	ok
fusion_rubik_base_delta_vote_fusion_01	1	1	1	0	873	21.825000	0.899216	ok
fusion_rubik_base_delta_vote_fusion_02	1	1	1	0	873	21.825000	0.899216	ok
fusion_rubik_base_delta_vote_fusion_03	1	1	1	0	871	21.775000	0.901235	ok
fusion_rubik_base_delta_vote_fusion_04	1	1	1	0	875	21.875000	0.897207	ok
fusion_rubik_base_delta_vote_fusion_05	1	1	1	0	875	21.875000	0.897207	ok
fusion_rubik_base_delta_vote_fusion_06	1	1	1	0	877	21.925000	0.895206	ok
fusion_rubik_base_delta_vote_fusion_07	1	1	1	0	877	21.925000	0.895206	ok
fusion_samesrc03_32274	1	1	1	0	879	21.975000	0.923164	ok
fusion_samesrc03_32274_corpusclean	1	1	1	0	877	21.925000	0.920904	ok
fusion_samesrc_base_delta_vote_fusion_01	1	1	1	0	833	20.825000	0.973778	ok
fusion_samesrc_base_delta_vote_fusion_02	1	1	1	0	835	20.875000	0.971463	ok
fusion_samesrc_base_delta_vote_fusion_03	1	1	1	0	837	20.925000	0.969158	ok
intersect_bold7h_33028	1	1	1	0	781	19.525000	0.946602	ok
linguist_bridge	1	1	1	0	887	22.175000	0.885336	ok
linguist_fifteenth_order_semantic_keep_supported_test	1	1	1	0	902	22.550000	0.868906	ok
linguist_fifteenth_order_semantic_no_art20_prune_test	1	1	1	0	903	22.575000	0.867965	ok
linguist_fifteenth_order_semantic_no_form_test	1	1	1	0	900	22.500000	0.870793	ok
linguist_fifteenth_order_semantic_pair_with_form_boundary_test	1	1	1	0	901	22.525000	0.869848	ok
live_33545	1	1	1	1	818	20.450000	0.993925	public clone J=0.9939
live_33545_plus005	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus011art19	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus013	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus030art285	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
